cod_pais,date_doc,id_ir21,ip,operador,pais,tadig
DEU,2015-08-12 00:00:00.000000000, 737,193.254.138.0/23,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.163.128/25,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.136.128/25,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.140.0/22,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.137.0/25,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.144.0/23,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.136.0/26,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.137.128/25,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.163.0/25,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-08-12 00:00:00.000000000, 737,193.254.136.64/26,Telekom_Deutschland_GmbH,ALEMANIA,DEUD1
DEU,2015-03-27 00:00:00.000000000, 553,139.7.129.0/25,Vodafone_GmbH,ALEMANIA,DEUD2
DEU,2015-03-27 00:00:00.000000000, 553,139.7.129.128/26,Vodafone_GmbH,ALEMANIA,DEUD2
DEU,2015-03-27 00:00:00.000000000, 553,139.7.128.0/20,Vodafone_GmbH,ALEMANIA,DEUD2
